IC50,Cancer,Drug,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
4.624473,687506,199,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,2
2.890058,724839,199,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,6
3.449077,906824,199,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,1
2.269821,906843,199,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,5
4.738248,907068,199,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,3
4.086657,930297,199,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,5
5.193105,930298,199,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,3
2.966943,1240212,199,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,3
2.692478,1298134,199,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,4
0.574251,687505,202,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,2
2.040698,687506,202,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,3
2.492725,724839,202,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,4
2.763089,906824,202,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,10
1.258671,906843,202,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,2
2.694981,907068,202,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,1
3.254031,930297,202,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,6
3.110517,930298,202,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,1
2.222787,1240212,202,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,7
2.521511,1298134,202,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,2
